d,tube_stops_d,car_prob_d
"113.32,23.06",0,15
"121.57,31.23",0,42
"113.30,23.24",0,55
"114.25,22.75",0,13
"113.58,23.52",0,12
"121.37,31.22",1,90
"113.25,23.22",0,27
"121.21,31.29",0,48
"121.62,31.15",0,20
"121.50,31.40",0,24
"114.22,22.62",0,2
"113.24,23.21",0,135
"113.87,22.59",0,176
"113.40,23.38",1,36
"113.36,23.36",0,6
"121.71,31.08",0,7
"121.48,31.39",0,57
"113.95,22.74",0,2
"121.40,31.15",0,73
"114.10,22.71",0,18
"121.76,31.15",0,68
"121.60,31.29",0,38
"121.65,31.28",0,32
"121.35,31.10",0,65
"121.52,31.20",0,123
"113.32,22.99",0,44
"113.33,23.29",0,14
"113.37,23.32",0,0
"113.27,23.00",1,118
"113.62,23.12",0,58
"113.29,23.06",0,17
"121.41,31.03",1,20
"121.49,31.29",0,380
"121.50,31.06",0,42
"114.00,22.67",0,100
"113.89,22.68",0,0
"113.27,23.05",0,23
"121.61,31.34",0,9
"121.52,31.33",0,25
"113.88,22.78",0,53
"114.06,22.58",0,54
"113.35,23.03",0,26
"121.62,31.16",0,6
"114.29,22.69",0,7
"121.28,31.18",0,4
"113.37,23.17",0,35
"121.22,31.05",0,16
"114.07,22.73",0,45
"121.35,31.11",0,30
"121.60,31.30",0,65
"121.47,31.29",0,38
"113.31,23.08",0,53
"121.24,31.45",0,61
"113.61,23.11",0,28
"113.39,23.17",0,25
"113.93,22.62",0,4
"121.32,31.09",0,26
"121.53,31.20",0,131
"114.49,22.57",0,19
"113.55,22.80",0,123
"121.35,31.20",0,54
"114.13,22.59",0,121
"121.59,31.16",2,6
"121.26,31.12",1,175
"113.27,23.22",0,41
"121.30,31.06",0,55
"121.32,31.01",0,16
"121.57,31.19",0,15
"113.40,22.95",0,52
"113.38,23.17",0,32
"113.54,22.81",0,62
"113.30,22.99",0,44
"113.50,22.83",0,21
"121.71,31.16",0,217
"121.65,31.03",0,18
"121.39,31.28",0,57
"114.06,22.69",0,24
"113.42,23.14",0,14
"121.30,31.18",0,55
"113.20,23.11",0,22
"121.61,30.99",0,47
"113.57,22.75",0,26
"114.30,22.69",0,0
"121.53,31.12",0,8
"114.03,22.60",0,28
"113.87,22.51",0,18
"113.42,23.46",0,0
"113.20,23.17",1,35
"113.78,23.75",0,3
"113.82,23.29",0,197
"113.22,23.10",0,88
"114.21,22.64",0,15
"121.60,31.12",0,14
"113.13,23.35",0,0
"114.42,22.64",0,14
"121.24,31.38",0,154
"113.44,23.00",0,2
"113.15,23.36",0,0
"121.35,31.29",0,32
"114.28,22.70",0,4
"114.21,22.75",0,2
"113.78,22.70",0,4
"121.34,31.22",0,24
"121.17,31.11",0,231
"121.57,31.09",0,10
"114.13,22.70",0,79
"113.28,23.23",0,72
"121.66,31.24",0,35
"113.78,22.69",0,37
"113.29,23.11",0,183
"121.31,31.16",0,10
"113.42,23.11",0,28
"121.32,31.30",2,58
"121.67,31.22",1,8
"121.34,31.43",0,3
"113.28,23.26",0,14
"121.46,30.93",1,58
"113.38,22.98",0,109
"121.56,31.17",1,50
"113.14,23.38",0,3
"113.08,23.34",0,0
"121.33,31.14",0,21
"121.63,31.18",0,75
"121.33,31.25",0,32
"121.36,30.73",0,51
"121.46,31.31",0,26
"121.35,31.30",0,6
"121.46,31.19",0,61
"121.60,31.28",1,40
"121.24,31.03",0,48
"113.94,22.69",0,34
"113.39,23.12",0,91
"121.22,31.28",0,155
"113.17,23.46",0,99
"121.29,31.40",0,107
"121.44,30.93",0,50
"121.36,31.36",1,31
"113.85,22.64",0,0
"113.78,22.72",0,49
"113.21,23.39",1,145
"114.03,22.73",0,25
"121.57,31.13",0,119
"121.90,30.88",0,17
"113.31,23.21",0,0
"113.66,23.28",0,20
"121.49,30.92",1,143
"113.87,22.78",0,37
"114.28,22.67",0,17
"121.45,31.34",0,56
"121.75,31.20",1,7
"114.05,22.70",0,24
"114.13,22.66",0,12
"113.63,23.14",1,9
"113.31,23.28",0,15
"113.35,22.91",0,39
"113.92,22.66",0,17
"113.76,23.28",0,11
"121.32,30.95",0,314
"121.38,31.34",0,13
"113.24,23.17",0,107
"114.28,22.74",0,57
"121.39,31.25",0,138
"113.45,23.18",2,20
"121.44,31.02",0,37
"121.53,31.28",0,74
"121.59,31.19",0,71
"121.50,31.05",0,29
"121.32,31.10",0,59
"121.38,31.38",0,3
"114.30,22.58",0,0
"113.49,23.16",0,16
"113.21,23.41",0,119
"114.36,22.71",0,18
"113.34,22.95",0,36
"121.63,31.29",0,22
"121.47,30.95",0,3
"113.23,23.26",0,6
"113.50,23.22",0,0
"114.19,22.59",0,16
"121.39,31.06",0,25
"113.30,23.05",0,55
"113.41,23.06",0,27
"121.40,31.10",0,45
"121.59,31.08",0,7
"121.37,31.32",1,15
"121.90,30.96",0,92
"114.14,22.63",0,63
"121.48,31.08",0,2
"113.49,23.08",0,13
"121.49,30.96",0,9
"121.48,31.18",3,47
"113.57,23.21",0,0
"113.52,23.21",0,3
"121.61,31.53",0,7
"113.88,22.48",0,79
"113.62,23.13",0,50
"121.26,31.17",0,18
"113.51,22.80",0,0
"121.36,31.35",0,10
"121.32,31.29",0,131
"121.78,31.51",0,15
"121.26,31.20",0,17
"121.57,30.92",0,76
"121.18,30.97",0,42
"121.01,31.11",0,19
"113.30,22.98",0,175
"113.22,23.09",0,89
"121.86,30.87",0,3
"114.37,22.75",0,49
"113.90,22.74",0,40
"114.35,22.61",0,11
"121.46,30.95",0,11
"114.05,22.66",0,44
"121.40,31.39",0,3
"113.44,22.95",0,5
"113.23,23.31",0,5
"121.47,30.80",0,0
"113.66,23.16",0,8
"121.30,31.21",0,61
"113.25,23.37",0,4
"113.41,23.08",0,10
"113.37,22.91",0,37
"114.08,22.63",1,76
"114.31,22.60",0,79
"121.72,31.05",0,67
"114.31,22.70",0,7
"113.38,23.14",0,33
"121.39,31.01",1,9
"121.53,31.18",0,62
"121.39,30.80",0,40
"121.71,31.21",0,3
"113.93,22.78",0,0
"121.49,31.39",0,47
"121.18,31.08",0,105
"113.37,23.15",0,43
"121.36,31.39",0,27
"121.60,31.11",1,7
"113.30,23.06",0,52
"114.09,22.74",0,101
"114.40,22.76",0,5
"121.16,31.27",0,27
"113.36,23.11",0,51
"121.47,31.33",0,19
"121.61,31.22",0,21
"113.22,23.14",0,33
"121.50,30.90",0,73
"121.73,30.86",0,4
"121.49,31.36",1,3
"121.43,30.99",1,19
"113.89,22.81",0,165
"114.30,22.70",0,7
"121.37,31.35",1,39
"113.27,23.07",0,87
"121.15,31.19",0,4
"121.63,30.91",0,267
"113.29,23.02",0,6
"114.03,22.76",0,4
"113.64,23.16",0,16
"114.51,22.59",0,7
"121.84,31.52",0,0
"113.40,23.39",0,6
"121.19,31.06",0,29
"113.47,22.95",0,10
"121.35,31.25",0,45
"113.77,22.71",0,0
"121.52,31.22",1,400
"113.31,23.03",0,149
"121.91,30.97",0,22
"121.35,31.42",0,14
"121.40,31.32",1,46
"113.84,22.74",0,66
"121.17,31.15",0,134
"114.55,22.48",0,2
"121.34,31.48",0,17
"121.61,31.12",0,10
"113.92,22.76",0,61
"113.25,23.40",0,5
"114.27,22.69",0,35
"121.28,31.19",0,15
"121.33,30.88",0,9
"113.85,22.71",0,7
"121.23,30.84",0,3
"121.49,31.38",0,70
"113.88,22.50",0,81
"121.40,31.02",0,10
"113.84,22.76",0,41
"121.04,30.89",0,0
"114.11,22.69",0,34
"121.68,31.19",0,22
"113.38,23.01",0,85
"121.70,31.02",0,11
"114.31,22.77",0,36
"114.29,22.74",0,2
"121.62,31.21",1,76
"113.35,23.19",0,30
"121.56,31.22",0,55
"113.87,22.79",0,41
"113.47,22.89",1,4
"121.18,31.16",0,9
"121.39,31.07",0,80
"121.50,30.83",0,22
"113.41,22.81",0,22
"121.32,31.06",0,9
"113.52,23.09",0,63
"121.35,31.08",0,14
"121.43,31.05",0,4
"113.49,22.74",0,3
"121.34,31.25",0,30
"113.43,22.95",0,6
"121.42,31.14",0,60
"121.29,31.09",0,6
"121.44,31.12",0,13
"121.34,30.81",0,0
"121.29,31.30",0,92
"121.26,31.04",0,20
"121.47,31.05",0,7
"121.69,31.21",0,20
"113.96,22.55",0,199
"113.94,22.64",0,9
"113.74,23.28",1,3
"113.25,23.38",1,30
"121.39,31.33",0,16
"121.36,31.33",0,10
"113.91,22.76",0,117
"121.37,31.09",0,15
"121.64,31.18",0,11
"121.29,31.21",0,58
"113.56,23.10",0,2
"114.36,22.74",0,13
"121.63,31.22",0,181
"121.37,31.34",0,10
"121.91,30.89",0,7
"113.82,22.72",0,78
"113.92,22.59",0,54
"114.23,22.75",0,12
"113.36,23.29",0,32
"121.12,31.16",1,46
"121.29,31.38",0,118
"113.32,23.57",0,0
"121.34,30.89",0,9
"113.78,23.57",0,6
"113.98,22.58",0,0
"113.57,22.76",1,2
"121.57,31.25",1,97
"113.40,23.08",0,2
"113.96,22.70",0,25
"113.31,23.17",0,73
"113.34,23.08",0,41
"121.24,31.35",1,39
"113.35,23.32",0,13
"114.27,22.77",0,2
"121.08,31.16",0,48
"114.00,22.52",0,0
"121.41,31.28",0,70
"121.63,31.13",0,11
"121.37,31.28",0,102
"113.98,22.62",0,2
"121.45,31.66",0,106
"113.22,23.41",0,112
"121.36,31.11",0,77
"121.46,31.04",0,48
"121.35,31.06",0,7
"113.27,23.25",0,31
"114.34,22.66",0,1
"121.55,31.28",1,36
"113.24,23.20",0,111
"121.28,31.03",0,13
"121.54,31.14",0,8
"113.37,23.02",0,13
"113.91,22.74",0,10
"113.23,23.20",0,56
"121.31,30.74",0,10
"113.91,22.72",0,23
"121.20,30.98",0,3
"121.31,31.22",0,42
"121.51,31.02",0,11
"113.53,23.60",0,0
"114.04,22.68",0,53
"113.42,23.19",0,44
"113.80,22.69",0,114
"121.26,31.36",0,15
"121.46,31.18",0,13
"113.80,22.70",0,36
"113.38,23.03",0,17
"121.58,31.06",0,25
"113.65,23.65",0,40
"121.48,31.11",0,30
"113.30,23.08",0,41
"114.42,22.63",0,16
"121.21,31.01",0,21
"113.34,23.29",0,10
"113.30,23.03",0,115
"121.82,30.88",0,3
"121.60,31.04",0,8
"114.22,22.74",0,7
"114.00,22.65",0,79
"121.58,31.34",0,54
"113.34,22.94",0,38
"113.34,22.96",0,39
"121.53,31.24",1,382
"121.63,31.11",0,13
"113.98,22.67",0,18
"113.51,23.06",0,18
"113.46,23.16",0,6
"113.83,22.79",0,7
"121.26,31.00",0,119
"113.24,23.16",0,108
"113.90,22.59",0,17
"121.26,31.22",0,0
"114.04,22.70",0,137
"121.37,31.01",0,9
"121.45,31.32",0,27
"113.53,23.08",0,9
"114.37,22.69",0,4
"113.89,22.48",1,70
"113.80,22.67",0,60
"121.35,30.88",0,1
"121.49,31.08",0,44
"113.22,23.46",0,1
"113.48,22.95",0,60
"121.85,31.52",0,1
"114.17,22.64",0,54
"113.37,22.96",0,44
"121.66,31.30",0,176
"113.85,22.66",0,4
"121.40,31.22",0,78
"113.32,23.32",0,0
"114.10,22.65",0,13
"113.29,22.97",0,0
"121.21,30.84",0,5
"113.10,23.40",0,0
"113.67,23.64",0,3
"121.33,31.32",0,6
"113.38,23.11",0,0
"113.61,22.63",0,6
"114.31,22.63",0,2
"113.51,23.08",0,39
"113.92,22.78",0,4
"114.32,22.77",0,15
"113.42,23.38",0,6
"121.45,31.33",0,45
"121.21,31.04",0,136
"121.30,31.10",0,33
"121.67,31.25",0,35
"114.16,22.69",0,17
"113.52,23.07",0,56
"121.39,31.11",0,61
"121.59,31.21",0,120
"121.46,30.94",0,71
"121.40,31.36",0,59
"121.78,31.05",0,14
"113.38,23.34",0,2
"113.38,23.19",0,25
"121.39,31.34",0,16
"121.31,30.94",0,38
"113.18,23.34",0,0
"121.73,31.20",0,110
"121.23,31.01",0,57
"121.45,31.36",0,24
"114.30,22.78",0,26
"121.71,31.40",0,7
"121.35,31.17",1,43
"113.22,23.19",0,45
"121.30,31.04",0,20
"121.97,30.88",0,7
"114.37,22.71",0,7
"121.34,31.30",0,2
"113.78,23.26",0,14
"121.62,31.19",1,10
"113.92,22.56",0,39
"114.11,22.67",0,6
"121.03,31.01",0,2
"121.02,30.91",0,0
"121.70,31.39",0,26
"113.30,23.27",0,11
"121.14,31.26",0,18
"113.20,23.39",0,175
"113.90,22.75",0,64
"113.77,22.73",0,24
"121.32,31.27",0,175
"113.94,22.50",0,230
"113.48,23.45",0,8
"121.48,31.37",0,29
"121.39,31.19",0,100
"113.66,23.18",0,6
"113.20,23.37",0,26
"121.34,31.34",0,2
"113.36,23.35",1,57
"121.58,31.15",0,24
"121.33,31.13",0,15
"113.32,22.92",0,10
"121.11,31.15",0,159
"121.83,31.49",0,4
"121.40,31.34",0,18
"113.20,23.06",0,11
"113.62,23.15",0,42
"121.44,31.11",0,18
"113.89,22.47",0,21
"113.82,23.25",0,14
"113.34,23.09",0,38
"121.29,30.74",0,13
"121.68,31.18",0,5
"114.53,22.47",0,3
"113.86,22.53",0,0
"114.08,22.70",0,35
"121.26,31.37",0,35
"113.82,23.28",0,112
"114.25,22.74",0,81
"114.02,22.72",0,31
"113.35,23.30",0,80
"113.39,22.78",0,3
"121.39,30.96",0,133
"121.25,31.04",0,47
"113.27,23.35",0,8
"121.23,31.05",0,33
"121.63,31.19",0,14
"113.56,22.80",0,19
"121.67,31.30",0,76
"113.78,23.18",0,16
"121.40,31.00",0,5
"113.33,23.30",0,32
"114.31,22.72",0,23
"121.85,30.96",1,4
"114.00,22.66",0,186
"114.28,22.71",0,8
"121.32,31.23",0,98
"121.76,31.21",0,8
"121.25,31.75",0,7
"121.59,31.35",0,59
"121.25,31.20",0,111
"113.90,22.51",0,127
"113.18,23.37",0,9
"113.35,23.45",0,0
"121.37,31.25",0,137
"113.12,23.33",0,0
"121.61,31.04",0,5
"113.63,22.62",0,7
"113.72,23.28",0,6
"121.74,30.88",0,14
"121.08,30.90",0,6
"113.43,23.31",0,0
"113.35,23.18",0,53
"114.53,22.53",0,0
"121.47,31.11",0,2
"121.51,31.18",0,102
"121.57,31.35",0,107
"113.99,22.74",0,11
"121.38,31.27",0,72
"121.45,31.02",0,47
"113.93,22.76",0,10
"121.26,31.26",0,9
"121.49,31.34",0,67
"114.38,22.74",0,5
"121.50,31.07",0,7
"121.34,31.09",0,33
"121.43,31.35",0,51
"114.30,22.79",0,0
"113.38,23.35",0,0
"113.59,23.29",1,2
"113.44,23.05",0,2
"120.92,31.04",0,6
"113.18,23.40",0,8
"113.79,22.73",0,13
"113.27,23.17",0,296
"121.59,31.04",0,33
"113.38,23.00",0,16
"121.53,31.08",0,0
"121.45,31.37",0,4
"113.62,23.29",0,16
"113.38,22.80",0,0
"113.87,22.62",0,2
"121.61,31.11",0,160
"121.92,30.90",0,90
"113.29,23.21",0,30
"113.83,22.74",0,134
"114.41,22.64",0,5
"113.98,22.69",0,60
"121.65,31.16",0,10
"121.29,31.20",0,24
"121.31,31.25",0,30
"121.43,31.34",1,71
"113.81,22.76",0,24
"113.94,22.70",0,0
"114.25,22.66",0,9
"121.44,31.03",0,33
"121.33,31.10",0,29
"121.37,31.48",0,0
"114.48,22.59",0,17
"113.45,23.41",0,0
"121.54,31.05",0,9
"121.28,31.06",0,6
"121.59,31.13",0,31
"114.23,22.66",0,86
"121.31,31.06",0,32
"121.74,31.06",0,14
"121.23,31.38",0,37
"113.85,22.78",0,35
"113.54,22.71",0,12
"113.48,22.78",0,9
"121.18,31.04",0,22
"113.46,22.92",0,2
"114.48,22.52",0,0
"114.09,22.61",0,3
"113.93,22.67",0,10
"113.32,23.28",1,89
"121.42,31.41",0,23
"113.35,23.08",0,12
"114.01,22.60",1,0
"113.49,23.04",0,2
"113.22,23.26",0,9
"121.62,31.25",0,82
"121.23,31.15",0,24
"121.31,31.05",0,4
"121.24,31.40",0,44
"113.67,22.65",0,23
"113.89,22.73",0,8
"114.21,22.67",0,16
"113.84,22.82",0,9
"121.22,31.04",0,100
"121.57,31.18",0,16
"121.27,31.22",0,14
"121.48,31.07",0,12
"113.40,23.67",0,0
"113.89,22.60",0,6
"121.39,31.29",0,19
"113.42,23.04",0,9
"121.35,31.03",0,18
"113.30,23.41",0,8
"121.35,31.48",0,10
"121.72,30.94",0,22
"113.45,23.11",2,86
"113.38,22.92",0,14
"121.52,31.19",1,54
"121.47,31.37",0,7
"113.64,22.41",0,4
"114.29,22.66",0,8
"113.34,23.25",0,19
"114.12,22.71",0,6
"113.88,22.80",0,58
"113.54,22.92",0,2
"114.02,22.56",1,150
"121.20,31.06",0,29
"114.40,22.62",0,12
"113.93,22.75",0,8
"114.30,22.68",0,3
"113.35,22.96",0,120
"113.30,23.21",0,0
"113.21,23.09",0,14
"114.22,22.71",0,47
"113.28,22.97",0,1
"121.22,31.11",0,22
"113.26,23.24",0,20
"121.26,31.34",0,15
"113.90,22.81",0,13
"121.65,31.31",0,9
"121.53,31.06",0,36
"121.24,31.07",0,22
"121.17,31.29",0,35
"113.44,23.45",0,7
"113.39,22.93",0,23
"121.20,31.41",0,16
"113.24,23.10",0,70
"114.10,22.63",0,57
"121.38,31.09",0,55
"113.41,23.14",0,37
"121.34,31.15",0,109
"121.04,31.06",0,1
"113.90,22.52",0,166
"113.50,23.16",0,32
"121.30,30.94",0,4
"121.32,31.08",0,8
"113.20,23.22",0,16
"114.12,22.59",0,134
"121.68,31.22",0,9
"113.34,23.04",0,21
"121.30,31.17",0,105
"113.35,23.27",0,30
"121.45,31.11",0,24
"121.14,31.14",0,11
"113.30,23.02",0,60
"114.14,22.65",0,8
"113.31,22.96",0,10
"113.48,23.10",0,18
"113.28,23.46",0,2
"121.39,31.36",0,32
"114.16,22.62",0,15
"121.43,31.09",0,15
"121.76,31.09",0,207
"114.13,22.64",0,39
"113.46,23.40",0,0
"121.67,31.26",0,22
"121.68,31.25",0,27
"121.28,31.11",0,23
"113.54,22.86",0,0
"113.65,22.69",0,4
"114.05,22.59",0,25
"114.19,22.57",0,0
"113.48,23.04",0,2
"121.62,31.30",0,34
"121.45,31.09",0,27
"113.90,22.80",0,19
"114.39,22.71",0,1
"114.05,22.73",0,42
"121.29,31.02",0,5
"113.42,22.97",0,0
"121.61,31.18",0,15
"114.18,22.57",0,22
"121.67,31.13",0,11
"121.32,31.22",0,66
"113.29,23.26",0,29
"121.50,31.32",2,114
"114.02,22.73",0,39
"121.55,31.11",0,5
"113.89,22.67",0,4
"113.36,23.07",0,5
"121.38,31.15",0,53
"113.21,23.23",0,13
"121.16,30.90",0,83
"121.38,31.07",0,27
"114.02,22.74",0,12
"121.22,31.37",0,178
"114.32,22.70",0,7
"121.31,31.10",0,179
"113.52,22.98",0,5
"121.71,31.09",0,1
"113.92,22.79",0,6
"121.42,31.33",0,44
"121.47,31.40",1,15
"113.39,23.00",0,47
"113.92,22.67",0,83
"113.28,23.33",0,36
"121.76,31.08",0,26
"113.39,23.11",0,5
"113.83,22.65",0,30
"121.73,31.08",0,16
"121.33,31.22",0,42
"121.64,30.92",0,82
"113.22,23.24",0,11
"114.35,22.71",0,14
"121.41,31.31",1,32
"113.32,23.26",0,18
"113.86,22.75",0,9
"114.31,22.74",0,3
"114.18,22.63",0,13
"121.91,30.93",1,2
"121.63,31.58",0,3
"121.67,31.29",0,15
"114.30,22.65",0,0
"121.64,31.11",0,60
"113.35,23.31",0,71
"113.40,23.07",0,7
"121.40,31.05",0,45
"113.60,22.75",0,16
"113.88,22.52",0,2
"113.88,22.47",0,16
"121.69,30.93",0,169
"114.05,22.68",0,17
"121.57,31.27",0,37
"121.70,31.21",0,28
"121.61,31.30",0,79
"121.13,31.15",0,107
"113.55,23.21",0,7
"113.50,23.13",0,2
"113.56,23.54",0,0
"121.26,31.33",0,95
"121.32,30.94",0,9
"113.84,23.26",0,31
"114.07,22.71",0,41
"121.55,31.31",0,10
"114.26,22.58",0,11
"121.19,31.43",0,36
"121.55,31.33",0,6
"113.41,23.48",0,0
"114.28,22.73",0,172
"121.75,31.15",0,143
"114.29,22.62",0,1
"113.56,22.76",0,11
"113.53,22.82",0,0
"121.25,31.00",0,54
"121.27,31.40",0,183
"121.25,31.38",0,152
"113.86,22.74",0,0
"121.38,31.26",0,42
"121.19,31.41",0,18
"113.99,22.57",0,2
"113.30,23.28",0,18
"113.94,22.57",0,54
"113.46,23.15",0,4
"121.77,31.06",0,35
"113.28,23.03",0,7
"114.31,22.67",0,7
"113.16,23.40",0,20
"114.21,22.66",1,31
"121.44,31.40",0,6
"114.27,22.75",0,56
"121.28,31.23",0,13
"121.61,31.27",0,70
"121.65,31.15",0,12
"113.35,23.28",0,12
"121.20,31.30",2,1
"121.21,31.25",0,19
"114.10,22.62",1,48
"113.26,23.25",0,28
"113.23,23.42",0,4
"121.32,31.44",0,49
"121.44,31.30",0,159
"114.21,22.70",0,73
"121.45,30.92",0,66
"113.36,23.01",0,33
"121.21,31.26",0,24
"113.62,22.76",0,2
"120.92,31.12",0,149
"113.52,23.06",0,71
"121.40,31.45",0,82
"113.21,23.42",0,13
"121.33,30.76",0,40
"121.42,31.03",0,42
"121.49,31.37",1,55
"113.92,22.68",0,46
"121.16,31.28",0,33
"121.57,31.21",0,44
"113.29,22.91",0,22
"121.58,31.07",0,187
"121.28,31.12",0,371
"121.41,31.26",0,95
"121.22,31.25",0,26
"113.34,22.89",0,0
"121.13,31.17",0,6
"113.49,22.99",0,16
"113.86,22.78",0,10
"113.56,22.78",0,7
"113.47,23.26",0,0
"113.51,23.58",0,1
"121.58,31.35",1,155
"114.07,22.68",0,12
"113.30,23.00",0,18
"113.34,22.92",0,144
"113.36,23.33",0,6
"121.65,31.14",0,44
"121.29,31.19",1,31
"113.37,23.36",0,83
"113.82,22.69",0,33
"121.22,31.34",0,23
"113.18,23.45",0,41
"121.57,31.34",0,64
"121.50,31.16",0,139
"121.41,31.27",0,171
"121.61,30.93",0,15
"121.57,31.24",1,76
"113.38,23.21",0,10
"113.32,23.25",0,0
"121.43,31.41",0,6
"121.10,31.20",0,0
"113.54,23.34",0,0
"114.32,22.78",0,1
"113.85,22.80",0,52
"121.32,31.07",0,45
"113.55,23.20",0,12
"113.79,22.72",0,29
"121.40,31.29",0,88
"113.27,23.29",0,5
"121.46,31.37",0,4
"121.23,31.25",0,17
"114.04,22.58",0,11
"121.28,31.15",0,11
"113.45,22.88",0,0
"113.90,22.49",0,9
"114.10,22.61",0,106
"114.12,22.63",0,63
"121.62,31.31",0,55
"121.41,31.42",0,127
"113.42,23.26",0,0
"113.88,22.72",0,6
"121.63,31.21",0,78
"114.08,22.71",0,38
"121.58,31.04",0,4
"121.32,31.26",0,65
"121.83,31.46",0,0
"121.36,31.41",0,8
"121.33,31.16",0,34
"113.52,23.11",0,16
"114.41,22.76",0,6
"121.28,31.31",0,3
"121.55,30.85",0,9
"113.41,23.36",0,2
"121.21,31.33",0,8
"114.25,22.71",0,74
"121.30,31.03",0,17
"114.53,22.56",0,13
"113.28,22.89",0,17
"121.29,31.17",0,30
"113.44,23.18",0,10
"121.33,30.72",0,59
"114.11,22.65",0,12
"114.20,22.66",0,22
"113.89,22.61",0,0
"121.29,31.15",0,13
"113.33,22.90",0,28
"113.74,23.69",0,0
"121.27,31.12",0,103
"121.56,31.12",0,34
"121.21,31.22",0,5
"121.24,31.20",0,21
"121.33,31.19",0,10
"113.98,22.63",0,0
"121.44,31.10",0,37
"114.19,22.63",0,7
"113.49,23.17",0,5
"121.64,31.07",0,29
"121.41,31.32",0,10
"113.77,22.69",0,0
"114.37,22.74",0,8
"113.24,23.26",0,8
"113.24,23.37",0,3
"113.39,23.20",1,29
"121.03,30.90",0,11
"113.44,22.96",0,12
"113.31,22.95",0,0
"121.80,31.50",0,16
"121.63,30.93",0,66
"113.22,23.05",0,20
"121.66,31.23",0,8
"121.26,31.02",0,44
"121.16,31.32",0,19
"121.41,31.15",0,46
"121.39,31.64",0,2
"113.64,23.63",0,5
"113.60,23.55",0,45
"121.82,30.91",0,21
"121.94,30.90",0,0
"121.71,31.23",0,10
"113.45,23.20",0,4
"113.23,23.38",0,4
"121.50,31.34",0,66
"121.73,31.06",0,40
"114.00,22.59",1,11
"113.30,23.44",0,0
"113.80,22.42",0,0
"121.30,31.02",0,29
"121.91,30.90",0,21
"121.33,31.09",0,15
"113.85,22.73",0,10
"113.28,23.05",0,4
"121.52,31.27",1,196
"121.68,31.27",1,22
"113.81,22.78",0,35
"113.22,23.27",0,19
"114.20,22.64",0,10
"121.16,31.30",0,124
"121.72,31.24",0,14
"121.57,31.17",0,2
"113.84,22.65",0,0
"121.58,31.10",0,84
"113.59,22.75",1,30
"114.20,22.71",0,31
"121.52,31.06",1,144
"113.38,22.96",0,7
"121.45,31.31",0,61
"121.42,31.11",0,38
"121.46,31.36",0,3
"114.48,22.57",0,1
"121.81,31.06",0,4
"121.51,31.41",0,0
"121.21,31.38",0,6
"121.34,30.72",0,101
"121.22,31.20",0,36
"121.91,30.88",0,19
"114.47,22.55",0,0
"113.54,23.11",0,72
"121.25,31.08",0,9
"121.24,31.25",0,23
"121.19,31.29",0,35
"114.24,22.76",0,3
"121.33,31.24",1,104
"121.03,31.11",0,5
"114.40,22.64",0,2
"114.29,22.68",0,0
"121.59,31.12",0,37
"113.42,23.02",0,0
"121.38,31.36",0,11
"121.41,31.38",0,3
"121.39,31.47",0,0
"113.95,22.49",0,38
"121.30,30.80",0,47
"121.50,31.11",0,42
"114.36,22.69",0,24
"121.38,31.21",0,71
"121.62,31.18",0,5
"121.47,31.35",0,15
"113.63,23.12",0,46
"121.37,31.15",0,8
"121.35,31.09",0,0
"113.83,23.23",0,0
"121.43,31.06",0,4
"121.19,31.03",0,71
"121.34,30.73",0,64
"113.54,22.80",0,141
"114.27,22.59",0,52
"113.55,23.12",0,37
"113.82,22.75",0,36
"113.19,23.33",0,6
"121.68,31.15",0,40
"113.26,23.47",0,0
"121.38,31.14",0,121
"121.39,31.03",0,9
"121.66,31.15",0,17
"121.72,31.09",0,6
"113.32,23.44",0,23
"113.34,23.23",0,3
"121.64,30.91",0,23
"121.54,31.32",0,44
"121.35,30.90",0,6
"121.70,31.07",0,164
"121.36,31.46",0,0
"121.75,31.17",0,47
"113.37,23.07",1,31
"113.86,22.79",0,2
"113.62,23.28",0,3
"121.41,31.44",0,4
"121.67,31.20",0,10
"121.30,31.38",0,87
"113.61,23.12",0,137
"113.95,22.73",0,2
"113.91,22.65",0,40
"121.56,31.28",1,9
"113.24,23.36",0,18
"113.47,23.11",0,30
"113.24,23.38",1,20
"114.31,22.69",0,0
"121.59,31.33",0,26
"121.26,31.39",0,135
"121.18,31.31",0,43
"121.79,31.17",1,21
"121.59,31.03",0,199
"114.36,22.67",0,8
"113.56,23.56",0,8
"121.41,31.13",0,43
"114.07,22.74",0,4
"121.55,30.93",0,208
"113.47,22.94",1,13
"113.23,23.06",0,27
"113.36,22.97",0,15
"113.31,22.97",0,29
"113.22,23.13",0,63
"121.37,31.03",0,105
"113.31,23.42",0,1
"121.34,30.85",0,21
"121.01,30.91",0,48
"114.29,22.70",0,0
"121.19,30.79",0,76
"113.33,23.07",0,6
"121.29,31.35",0,13
"121.30,30.73",0,24
"113.36,23.05",0,9
"121.25,31.09",0,164
"113.45,23.02",0,13
"121.79,31.18",0,17
"121.24,31.11",0,75
"114.07,22.59",0,11
"121.26,31.38",0,81
"113.28,23.16",0,28
"113.35,22.86",0,5
"114.21,22.73",0,43
"113.29,23.37",0,38
"121.31,31.13",0,44
"113.51,22.98",0,4
"121.22,31.14",0,3
"121.57,31.22",0,32
"121.19,31.16",1,33
"113.90,22.66",0,16
"121.21,31.43",0,234
"113.79,22.65",1,0
"121.52,30.93",0,36
"113.89,22.69",0,1
"121.31,30.89",0,69
