o,tube_stops_o,car_prob_o
"114.24,22.57",0,125
"114.04,22.71",0,47
"114.36,22.73",0,400
"121.40,31.16",0,178
"121.58,31.16",0,400
"114.09,22.73",0,21
"114.06,22.51",0,400
"113.31,22.98",0,263
"113.24,23.18",0,243
"121.40,31.12",0,22
"114.13,22.58",2,0
"121.16,31.29",2,56
"121.19,30.96",0,11
"113.99,22.55",1,52
"121.52,31.16",0,202
"113.36,23.04",0,24
"113.24,23.09",2,74
"121.33,31.19",0,400
"121.38,31.24",0,148
"114.11,22.69",0,13
"113.33,22.99",0,243
"113.92,22.73",0,66
"121.22,31.02",0,43
"113.81,22.68",0,171
"113.85,22.62",0,48
"121.62,31.03",0,400
"121.43,31.23",0,400
"113.43,23.15",0,0
"121.61,31.08",1,400
"113.26,23.18",0,247
"113.88,22.60",0,182
"113.64,23.14",1,217
"121.14,31.02",0,28
"113.30,22.97",0,169
"113.99,22.53",0,276
"113.53,23.10",0,29
"121.53,31.30",1,400
"121.32,31.12",0,197
"121.34,31.41",0,24
"113.26,23.16",0,149
"113.63,23.16",0,26
"121.49,31.20",1,359
"113.44,22.96",0,26
"121.39,31.16",2,148
"114.18,22.63",0,47
"121.59,31.25",1,18
"113.79,22.74",0,7
"113.82,22.66",0,349
"114.32,22.70",0,11
"121.51,31.14",2,64
"121.44,30.97",1,148
"114.03,22.54",1,146
"113.45,23.19",0,10
"121.34,31.13",0,148
"121.32,30.88",0,400
"121.66,31.25",0,235
"121.32,31.15",0,20
"113.27,23.23",0,68
"113.32,22.99",0,191
"114.49,22.66",0,61
"113.84,22.72",0,111
"121.51,31.08",1,171
"121.42,31.13",0,271
"113.35,23.14",0,326
"113.36,23.19",1,9
"113.29,22.97",0,51
"121.41,31.20",1,148
"121.36,31.36",1,57
"113.36,22.92",0,42
"113.46,23.42",1,1
"121.43,31.33",0,16
"121.68,31.19",0,400
"121.21,31.04",0,148
"113.38,23.12",1,344
"121.60,31.21",1,105
"121.53,31.24",1,103
"114.01,22.64",1,53
"113.90,22.52",0,400
"113.48,23.18",1,70
"121.28,31.34",0,258
"121.58,31.26",1,181
"114.05,22.75",0,64
"114.14,22.63",0,400
"114.12,22.66",0,67
"113.98,22.59",0,261
"121.65,31.28",0,19
"113.24,23.15",0,175
"121.61,31.29",0,55
"121.77,31.08",0,211
"113.33,23.18",0,173
"113.29,23.17",0,87
"113.87,22.60",0,75
"113.78,22.72",0,326
"113.45,23.11",2,36
"121.40,31.06",0,103
"113.90,22.58",0,222
"113.24,23.14",1,174
"121.38,31.08",0,29
"113.45,23.15",0,11
"121.35,31.26",0,383
"121.22,31.05",0,14
"113.58,23.15",0,174
"121.57,31.13",0,148
"114.25,22.73",0,149
"121.58,31.18",1,387
"114.13,22.70",0,117
"113.31,22.97",0,78
"113.92,22.69",0,41
"114.22,22.56",0,400
"113.60,23.19",0,162
"113.27,23.22",0,88
"121.43,31.34",1,400
"113.25,23.11",0,347
"113.81,22.74",0,67
"113.93,22.64",0,50
"121.76,31.04",0,386
"121.59,31.18",0,7
"113.80,22.69",0,42
"121.35,31.11",0,39
"121.29,31.43",0,75
"121.86,30.96",0,171
"113.35,23.19",0,241
"113.95,22.54",1,61
"121.64,31.11",0,17
"121.39,31.18",0,400
"121.59,31.35",0,294
"121.53,31.18",0,400
"113.26,23.09",3,16
"113.28,23.15",0,400
"121.66,31.27",1,144
"113.63,23.14",1,105
"121.44,31.28",0,125
"113.91,22.58",2,188
"113.35,23.30",0,0
"114.28,22.68",0,149
"113.78,22.68",0,54
"121.34,31.20",0,52
"121.44,31.17",1,169
"121.37,31.20",0,256
"121.31,31.28",0,51
"114.10,22.71",0,5
"121.42,31.23",2,400
"113.17,23.43",0,32
"113.29,23.23",0,41
"113.18,23.33",0,117
"114.04,22.66",0,10
"113.94,22.74",0,95
"121.38,31.32",1,400
"114.00,22.52",0,5
"121.24,31.37",0,305
"114.09,22.70",0,33
"121.29,30.83",0,4
"113.54,22.78",2,215
"121.45,31.18",1,53
"113.45,23.05",0,4
"113.94,22.76",0,2
"121.56,31.25",1,62
"114.04,22.64",0,40
"113.38,23.14",0,41
"113.21,23.29",0,41
"113.23,23.47",0,91
"114.06,22.64",0,93
"121.50,31.26",2,400
"113.51,23.58",0,347
"121.36,31.05",0,72
"113.92,22.50",0,360
"113.81,22.66",0,400
"113.26,23.08",0,316
"113.50,23.24",0,0
"113.65,23.13",0,243
"121.25,31.18",1,190
"113.64,23.17",0,243
"113.83,22.64",0,400
"121.42,31.03",0,148
"113.31,23.07",0,215
"114.47,22.59",0,400
"121.31,31.19",0,400
"121.60,31.11",1,231
"113.27,23.24",0,87
"113.24,23.06",0,109
"113.36,22.96",0,74
"113.35,23.06",0,2
"114.07,22.62",0,400
"113.32,22.96",0,41
"114.04,22.63",0,0
"121.39,31.32",1,1
"121.29,31.03",0,11
"113.29,23.04",1,41
"121.34,31.10",0,40
"121.36,31.24",1,56
"121.76,31.05",0,148
"121.45,30.93",0,63
"113.29,23.01",0,400
"114.18,22.64",1,5
"121.67,31.15",0,383
"121.52,31.18",1,56
"121.49,31.15",1,271
"121.36,31.39",0,4
"114.25,22.70",0,46
"113.45,22.89",0,13
"113.37,22.94",0,117
"121.43,31.29",0,167
"114.00,22.61",0,235
"114.10,22.54",3,294
"121.31,31.13",0,37
"113.93,22.49",1,21
"114.23,22.69",0,112
"121.23,31.11",1,22
"121.48,30.92",0,170
"113.52,23.61",0,41
"121.67,31.25",0,16
"121.69,31.05",0,0
"121.60,31.10",0,17
"113.27,23.18",1,9
"121.31,31.23",0,400
"113.27,23.35",0,367
"121.50,31.17",0,400
"113.24,23.28",0,68
"121.78,31.06",0,32
"113.79,22.72",0,8
"113.21,23.16",0,241
"113.96,22.58",0,190
"121.58,31.35",1,139
"113.22,23.16",0,7
"121.35,31.18",0,73
"114.29,22.78",0,70
"121.53,31.06",0,154
"114.17,22.64",0,103
"113.41,23.15",0,9
"114.12,22.65",0,400
"113.56,23.31",1,56
"113.37,23.17",0,70
"121.16,31.33",0,7
"121.40,31.32",1,145
"121.37,31.36",0,46
"113.89,22.54",1,400
"121.43,31.02",0,190
"121.50,31.31",0,99
"113.92,22.72",0,3
"121.26,31.06",0,130
"121.46,30.93",1,160
"113.32,23.29",0,236
"121.49,31.12",1,92
"121.49,31.27",1,395
"121.30,31.18",0,3
"121.43,31.07",0,75
"121.41,31.17",2,148
"113.82,23.28",0,162
"113.92,22.64",0,235
"121.34,31.19",1,22
"113.84,23.28",0,385
"114.41,22.64",0,39
"121.79,31.17",1,9
"114.44,22.60",0,40
"114.26,22.71",0,13
"121.50,31.38",0,49
"113.40,22.89",0,40
"121.59,31.04",0,39
"113.61,23.12",0,109
"113.26,23.17",1,8
"113.87,22.75",0,53
"113.22,23.41",0,128
"121.36,31.21",0,50
"121.81,31.04",0,62
"121.29,31.27",0,294
"113.60,23.55",0,7
"114.15,22.56",0,400
"113.98,22.55",1,87
"114.35,22.68",0,45
"113.79,22.69",0,49
"113.89,22.68",0,120
"113.40,23.17",0,50
"113.83,22.70",0,76
"121.46,30.94",0,76
"121.35,31.31",0,256
"114.30,22.60",0,74
"121.22,31.09",0,35
"121.89,30.90",0,6
"113.37,23.16",0,49
"121.51,31.09",0,18
"113.49,23.09",1,310
"121.38,31.21",0,187
"121.23,31.39",1,25
"114.19,22.68",0,107
"113.89,22.77",0,41
"113.28,23.04",0,120
"113.25,23.09",1,287
"121.46,31.26",0,62
"114.10,22.70",0,16
"113.91,22.50",0,400
"113.59,23.13",1,68
"113.43,23.13",0,243
"114.05,22.66",0,400
"121.31,31.02",0,20
"114.12,22.71",0,25
"121.36,31.28",2,190
"114.32,22.69",0,235
"121.43,31.30",0,22
"121.61,31.20",0,197
"121.37,31.32",1,120
"113.89,22.55",1,297
"113.21,23.13",1,344
"121.33,31.24",1,335
"121.75,31.14",0,49
"114.03,22.68",0,228
"113.32,23.03",0,87
"121.57,31.15",0,317
"121.75,31.15",0,225
"121.59,31.15",0,148
"114.37,22.74",0,16
"113.23,23.39",0,8
"113.25,23.27",0,22
"121.38,31.20",1,400
"121.36,31.25",0,72
"121.23,31.09",1,105
"113.25,23.20",0,1
"113.62,22.27",0,3
"113.84,22.71",0,12
"114.03,22.66",0,261
"121.55,31.13",0,400
"121.55,31.17",0,37
"113.28,22.98",0,243
"121.75,31.07",0,25
"113.27,23.16",0,95
"113.84,22.78",0,212
"114.04,22.57",1,399
"121.57,31.27",0,311
"121.72,31.19",1,14
"113.42,23.13",0,215
"113.54,23.11",0,243
"113.50,22.81",0,47
"121.43,31.00",0,34
"114.01,22.67",0,52
"113.21,23.41",0,41
"113.83,22.62",0,400
"121.41,31.34",0,400
"113.96,22.77",0,62
"121.24,31.38",0,12
"121.68,31.14",0,234
"121.50,31.23",0,205
"121.22,31.29",0,136
"114.31,22.78",0,235
"121.59,31.08",0,46
"121.50,31.07",0,118
"113.99,22.52",1,103
"121.38,31.09",0,335
"121.44,31.26",1,17
"121.41,31.42",0,148
"121.31,30.73",0,1
"114.20,22.66",0,106
"121.47,31.41",1,158
"114.21,22.66",1,68
"121.26,31.12",1,400
"113.29,23.24",0,65
"113.98,22.53",0,87
"113.50,23.15",0,374
"121.36,31.11",0,75
"121.34,30.79",0,20
"113.37,22.93",0,310
"113.67,23.17",0,225
"113.55,23.12",0,243
"121.40,31.04",0,148
"114.10,22.59",0,374
"113.89,22.72",0,104
"113.90,22.72",0,20
"121.52,31.20",0,41
"113.84,22.59",0,4
"121.26,31.17",0,310
"121.36,31.29",0,10
"113.61,23.53",0,214
"114.04,22.68",0,3
"121.18,31.05",0,172
"121.41,31.16",0,76
"121.41,31.31",1,16
"113.46,23.10",0,87
"114.13,22.69",0,16
"121.36,31.26",0,6
"121.54,31.31",0,67
"121.70,30.92",0,125
"121.61,31.21",0,199
"121.36,31.27",0,53
"113.21,23.15",1,62
"121.52,30.99",0,168
"113.90,22.55",0,74
"121.39,31.17",1,11
"114.32,22.73",0,0
"113.99,22.69",0,61
"114.12,22.67",0,400
"114.02,22.64",0,114
"114.00,22.68",0,125
"121.67,31.30",0,16
"113.94,22.57",0,108
"113.63,23.26",0,90
"121.59,31.33",0,309
"114.11,22.71",0,103
"113.41,23.04",0,23
"113.32,23.09",0,243
"113.32,23.31",0,35
"113.78,22.73",0,103
"121.51,31.33",0,9
"121.44,31.31",1,202
"113.90,22.71",0,162
"113.47,23.11",0,6
"113.30,23.17",0,92
"121.45,31.28",1,39
"113.25,23.38",1,1
"121.31,31.32",0,383
"113.33,22.94",0,31
"113.32,23.27",0,16
"113.24,23.19",0,243
"121.82,31.15",0,22
"121.24,31.07",0,38
"113.09,23.41",0,5
"121.63,31.27",1,145
"114.41,22.76",0,17
"114.19,22.59",0,27
"114.36,22.71",0,138
"121.51,31.27",0,211
"113.88,22.82",0,9
"121.28,31.73",0,16
"121.23,30.99",1,8
"121.55,31.04",0,54
"114.06,22.65",0,264
"113.67,22.65",0,39
"113.43,23.11",0,105
"121.29,31.00",0,14
"113.63,23.13",0,243
"121.19,31.04",0,14
"121.47,31.40",1,217
"121.28,31.19",0,167
"114.33,22.79",0,288
"121.37,31.17",0,50
"114.21,22.73",0,97
"121.20,31.30",2,16
"113.97,22.55",0,73
"113.91,22.48",1,400
"121.38,31.26",0,156
"121.22,31.39",0,46
"113.29,22.98",0,275
"121.46,31.28",0,148
"121.59,31.27",0,103
"113.81,22.78",0,7
"114.09,22.61",0,29
"121.49,31.00",0,41
"121.61,31.10",0,294
"113.93,22.63",0,102
"121.39,31.09",1,62
"113.18,23.44",0,98
"121.45,31.33",0,266
"121.38,31.12",0,178
"113.96,22.55",0,103
"114.24,22.76",0,120
"121.50,31.13",0,55
"121.37,30.75",0,400
"121.25,31.08",0,8
"113.61,22.77",1,16
"121.57,31.21",0,400
"113.23,23.18",0,66
"121.45,31.17",3,16
"121.32,31.23",0,290
"113.82,22.78",1,66
"121.42,31.17",0,7
"113.37,23.10",0,134
"121.66,31.21",0,59
"113.96,22.56",0,61
"121.30,31.19",1,170
"121.42,31.24",0,30
"114.00,22.59",1,90
"121.90,30.89",0,18
"113.84,22.79",0,109
"114.06,22.60",0,80
"113.48,23.10",0,344
"121.40,31.18",0,40
"113.83,22.59",0,331
"121.59,31.19",0,17
"121.17,31.36",0,12
"113.22,23.11",0,17
"121.54,31.20",0,170
"114.06,22.72",0,74
"113.25,23.07",0,39
"113.89,22.78",0,48
"121.37,31.23",0,99
"121.42,31.33",0,140
"121.23,31.20",0,400
"113.83,22.67",0,182
"113.31,23.08",0,329
"121.52,31.22",1,170
"113.39,23.14",0,87
"113.18,23.40",0,45
"113.16,23.37",0,18
"121.41,31.01",1,84
"113.96,22.69",0,20
"121.50,31.18",1,34
"113.30,23.11",0,91
"113.39,23.07",0,24
"113.35,23.20",0,289
"113.80,22.77",0,62
"121.36,30.76",0,31
"121.35,31.16",1,46
"113.54,23.10",1,13
"113.48,22.96",0,201
"121.56,31.26",0,100
"113.23,23.16",0,106
"114.12,22.56",1,400
"114.13,22.66",0,11
"121.44,31.16",1,317
"121.35,31.17",1,283
"121.43,31.24",2,305
"113.65,23.64",0,66
"121.21,31.22",0,148
"113.30,23.03",0,9
"121.75,31.11",0,34
"114.04,22.73",0,39
"121.18,31.42",0,148
"113.36,23.01",0,40
"121.59,31.16",2,400
"121.24,31.31",0,37
"113.50,23.16",0,243
"113.45,23.43",0,8
"121.37,31.35",1,100
"114.23,22.56",0,10
"113.80,22.76",0,71
"121.37,31.22",1,400
"121.64,31.08",0,130
"114.28,22.73",0,112
"121.40,31.27",0,73
"121.36,31.14",0,84
"113.54,23.33",1,3
"121.61,31.13",2,383
"121.39,31.10",0,148
"121.41,30.91",0,62
"121.53,31.29",1,136
"114.08,22.57",1,21
"113.95,22.50",0,15
"121.51,31.37",0,3
"113.29,23.08",0,243
"114.00,22.69",0,40
"114.05,22.68",0,27
"121.44,31.37",0,46
"114.01,22.61",0,103
"121.62,31.14",0,266
"121.34,31.17",0,118
"113.42,23.20",0,68
"121.56,31.18",0,400
"113.33,23.34",0,239
"121.32,31.29",0,46
"121.48,31.38",1,74
"113.22,23.23",0,22
"121.46,31.16",2,22
"121.70,31.24",0,26
"121.55,31.29",0,400
"121.48,31.41",0,69
"113.87,22.78",0,48
"113.82,22.62",0,400
"121.93,30.91",1,18
"113.29,23.15",0,68
"121.47,31.31",0,400
"113.98,22.74",0,1
"121.54,31.15",0,130
"113.96,22.60",1,123
"113.40,23.09",0,167
"113.28,23.27",0,17
"113.51,23.45",0,88
"121.67,31.20",0,55
"121.48,31.27",0,167
"121.40,31.23",0,118
"114.13,22.64",0,0
"121.68,31.07",0,204
"114.10,22.61",0,382
"121.58,31.34",0,13
"121.51,31.16",1,65
"121.18,31.03",0,400
"121.33,31.18",0,22
"113.86,22.66",0,103
"121.71,31.05",0,63
"114.07,22.56",0,400
"114.30,22.78",0,7
"114.14,22.70",0,11
"113.50,23.12",0,7
"121.77,31.05",0,21
"113.40,23.10",0,147
"114.27,22.74",0,400
"113.36,23.26",0,25
"113.34,22.97",0,2
"121.69,31.13",0,55
"121.48,31.32",1,231
"113.37,23.11",0,400
"121.49,31.39",0,187
"113.49,23.08",0,42
"121.63,31.18",0,53
"113.41,23.06",0,40
"113.97,22.70",0,6
"121.38,31.35",0,62
"121.42,31.41",0,5
"121.30,31.20",0,6
"121.79,31.15",0,59
"113.84,22.73",0,46
"121.61,30.92",0,33
"113.18,23.42",0,8
"114.12,22.59",0,400
"113.25,23.35",0,96
"113.94,22.80",0,400
"113.95,22.49",0,400
"121.73,31.10",0,5
"121.69,30.93",0,6
"113.22,23.18",0,0
"113.48,23.17",0,9
"114.12,22.63",0,51
"114.30,22.61",0,3
"113.34,23.37",0,0
"113.31,23.22",0,40
"113.34,23.30",1,215
"113.46,23.16",0,41
"114.04,22.51",0,381
"121.11,31.25",0,230
"113.36,23.21",0,115
"114.03,22.57",0,182
"121.60,31.32",1,62
"121.58,31.29",1,105
"121.38,31.19",0,118
"114.04,22.69",0,103
"113.24,23.24",0,135
"114.34,22.70",0,3
"121.80,31.13",0,74
"113.27,22.98",0,100
"114.15,22.64",0,17
"121.50,31.35",1,294
"121.50,31.21",1,72
"121.30,30.80",0,231
"113.26,23.30",0,174
"113.26,23.38",0,2
"113.08,23.41",0,87
"113.39,22.84",0,400
"121.42,31.14",0,400
"121.31,31.31",0,184
"121.31,31.22",0,48
"113.19,23.08",0,38
"113.28,23.16",0,400
"121.49,31.26",0,86
"113.81,22.61",0,171
"113.95,22.64",0,400
"121.25,31.33",2,94
"114.17,22.57",0,125
"121.63,31.19",0,148
"113.31,23.01",0,152
"121.05,31.10",0,170
"120.90,31.11",0,283
"113.25,23.22",0,2
"121.62,31.15",0,386
"121.42,31.22",0,247
"114.58,22.49",0,4
"121.37,31.11",0,400
"113.84,22.70",0,108
"113.50,23.14",0,21
"121.29,31.32",0,170
"113.45,23.20",0,21
"113.80,22.74",0,88
"121.60,31.28",1,400
"113.36,23.09",0,55
"113.43,23.39",0,173
"114.06,22.69",0,34
"113.29,23.02",0,12
"121.25,31.10",0,61
"113.33,23.22",0,25
"121.49,31.30",0,294
"114.00,22.54",0,222
"113.89,22.52",0,5
"121.63,31.13",0,400
"121.40,31.05",0,400
"121.22,31.03",0,214
"113.38,23.34",0,243
"114.22,22.63",0,103
"113.10,23.40",0,400
"113.41,23.21",0,117
"113.56,23.56",0,109
"121.59,31.10",0,35
"113.51,23.09",1,135
"114.36,22.74",0,45
"121.40,31.29",0,400
"113.58,23.54",0,0
"114.36,22.69",0,71
"113.35,23.39",0,400
"113.51,22.90",0,400
"121.63,31.21",0,114
"121.78,31.04",0,148
"121.60,31.04",0,156
"113.21,23.38",1,75
"113.29,23.37",0,0
"121.30,31.03",0,37
"113.35,23.24",0,375
"121.38,31.25",0,11
"121.50,31.22",0,400
"113.81,22.67",0,41
"121.53,31.26",0,62
"121.51,31.22",0,17
"114.08,22.68",0,11
"121.45,30.91",0,60
"114.08,22.71",0,400
"113.43,22.96",0,14
"113.24,23.31",0,75
"121.58,31.15",0,8
"121.33,31.20",0,400
"121.61,31.27",0,10
"121.40,31.25",2,86
"114.08,22.63",1,89
"113.24,23.16",0,14
"121.40,31.15",0,271
"114.31,22.77",0,4
"121.62,31.09",0,294
"121.21,31.01",0,231
"113.20,23.08",0,81
"113.86,22.78",0,182
"121.59,31.31",1,10
"121.37,31.12",0,13
"113.84,22.76",0,162
"121.45,31.36",0,9
"113.58,23.55",0,30
"113.60,22.75",0,11
"121.02,30.89",0,231
"121.66,31.15",0,145
"121.56,31.23",0,105
"113.81,22.79",1,0
"114.16,22.56",0,326
"121.28,31.21",0,0
"121.57,31.14",0,140
"121.30,31.22",0,17
"121.52,31.03",1,258
"113.95,22.72",0,16
"114.27,22.70",0,11
"121.77,31.11",0,244
"113.41,22.95",0,79
"113.82,22.77",0,162
"113.27,23.31",0,39
"113.27,23.46",0,13
"114.01,22.75",0,74
"113.24,23.21",0,243
"121.64,31.05",1,129
"114.13,22.71",0,20
"113.45,23.41",0,35
"114.29,22.77",0,400
"113.27,23.11",0,347
"121.44,31.15",0,103
"121.22,31.38",1,0
"113.83,22.76",0,316
"114.00,22.67",0,125
"121.30,31.31",0,97
"121.83,31.49",0,400
"121.90,30.96",0,400
"113.32,23.32",0,173
"121.39,31.14",1,11
"113.49,23.38",1,41
"113.34,22.92",0,275
"114.31,22.72",0,15
"114.33,22.70",0,40
"121.41,31.30",1,36
"121.70,31.17",0,26
"121.53,31.23",2,400
"114.11,22.56",0,103
"113.85,22.63",0,16
"113.42,23.05",0,24
"114.05,22.56",1,400
"114.07,22.53",1,400
"121.54,31.30",0,103
"113.50,22.84",1,169
"121.55,30.84",0,74
"113.18,23.07",0,14
"113.24,23.39",1,12
"113.19,23.43",0,88
"121.64,31.23",0,21
"113.28,23.00",0,75
"121.60,31.25",0,294
"121.26,31.28",0,27
"113.56,23.32",0,19
"113.20,23.15",0,134
"121.11,31.15",0,75
"113.46,22.96",1,13
"113.28,23.08",1,87
"114.33,22.69",0,11
"114.26,22.69",0,6
"121.53,31.37",0,155
"121.51,31.31",1,66
"113.42,23.04",0,37
"113.93,22.67",0,74
"121.41,31.10",0,294
"113.34,23.32",0,12
"113.86,22.62",0,312
"121.70,30.87",0,400
"113.45,23.40",0,2
"114.05,22.72",0,129
"121.74,31.18",0,46
"121.33,31.27",0,275
"121.51,31.19",1,153
"113.83,22.65",0,24
"121.28,31.25",0,72
"121.30,31.06",0,51
"121.38,31.16",0,184
"113.49,22.85",0,290
"113.37,23.15",0,97
"113.22,23.39",0,75
"121.68,31.25",0,3
"121.79,31.05",0,359
"113.36,23.22",0,87
"121.36,31.12",0,214
"113.26,23.07",0,99
"114.12,22.68",0,203
"113.37,23.09",0,200
"113.20,23.12",1,14
"113.46,23.03",0,88
"114.24,22.68",0,24
"113.80,22.63",0,400
"113.43,23.17",0,20
"121.32,31.35",0,161
"114.08,22.70",0,76
"121.24,31.41",0,168
"113.91,22.74",0,39
"114.06,22.67",0,98
"121.19,31.28",0,29
"114.24,22.73",0,400
"114.30,22.72",0,121
"114.21,22.65",0,68
"121.41,31.28",0,213
"113.86,22.60",0,9
"121.53,31.32",2,147
"113.50,23.45",0,287
"113.44,23.17",0,34
"113.30,23.18",0,17
"121.20,31.29",0,400
"113.15,23.41",0,92
"121.68,31.27",1,40
"121.38,31.10",1,51
"114.29,22.72",0,40
"114.12,22.62",0,37
"113.31,23.29",0,0
"113.31,23.18",1,160
"113.34,23.16",0,25
"121.46,30.98",0,294
"114.11,22.63",0,171
"113.78,22.71",0,24
"121.32,31.28",0,11
"113.86,22.72",0,134
"113.56,23.53",0,4
"113.53,23.13",0,22
"121.29,31.18",0,145
"113.25,23.21",0,4
"121.43,30.96",0,11
"121.51,31.36",0,2
"114.18,22.61",0,26
"113.36,23.00",0,12
"121.55,31.30",0,400
"113.29,23.03",0,116
"113.85,22.60",0,246
"121.60,31.26",0,96
"113.44,23.18",0,63
"113.83,22.72",0,246
"113.30,23.30",0,215
"114.01,22.74",0,17
"121.92,30.90",0,244
"121.41,31.09",0,294
"121.56,31.16",0,106
"113.97,22.59",0,172
"113.96,22.71",0,20
"113.23,23.19",0,173
"113.06,23.42",0,1
"113.12,23.36",0,5
"121.37,31.08",0,34
"121.75,31.16",0,103
"113.83,22.61",0,37
"121.31,31.04",0,21
"121.14,31.27",0,192
"113.82,22.72",0,309
"113.87,22.76",0,28
"114.22,22.55",0,297
"121.29,31.01",0,38
"114.30,22.70",0,138
"113.82,23.31",0,162
"121.27,31.27",0,0
"113.35,23.00",0,173
"121.50,30.92",0,18
"121.23,31.05",0,12
"121.69,31.26",0,26
"113.92,22.56",0,138
"113.30,23.36",0,174
"114.01,22.53",0,240
"113.21,23.06",0,51
"121.27,31.12",0,168
"121.44,31.30",0,163
"113.51,23.17",0,14
"114.07,22.71",0,133
"113.37,23.07",1,88
"113.57,23.20",0,243
"114.32,22.68",0,213
"121.81,31.14",0,24
"114.07,22.54",0,400
"113.91,22.65",0,374
"121.47,30.93",0,13
"121.18,31.29",2,41
"113.33,23.03",0,223
"113.13,23.36",0,22
"113.67,23.28",1,119
"114.22,22.69",1,171
"121.09,31.13",0,400
"121.44,31.33",1,17
"121.37,31.29",0,220
"113.24,23.10",0,135
"113.51,22.83",1,18
"121.45,31.40",0,34
"113.46,22.88",0,2
"113.24,23.17",0,74
"113.79,22.71",0,110
"113.34,23.02",0,344
"121.29,31.45",0,10
"113.93,22.68",0,17
"113.52,23.21",0,184
"121.54,31.23",1,96
"113.98,22.67",0,228
"121.47,31.29",0,13
"114.23,22.66",0,5
"121.28,31.12",0,383
"121.68,31.18",0,55
"121.22,31.01",0,12
"113.44,22.86",0,0
"121.43,31.14",0,305
"113.91,22.56",0,22
"121.53,31.28",0,320
"121.44,31.29",0,148
"121.21,31.27",0,5
"113.28,23.50",0,27
"113.50,23.22",0,40
"121.51,31.26",1,305
"113.40,22.99",0,41
"113.44,23.15",0,19
"113.52,23.36",0,117
"113.15,23.37",0,14
"121.73,31.05",0,148
"121.70,31.19",0,106
"113.83,22.80",0,16
"113.43,23.14",0,28
"113.31,23.03",0,0
"121.46,31.34",0,361
"121.26,31.16",0,32
"121.31,31.30",0,23
"121.23,31.30",0,130
"121.49,31.32",0,230
"114.28,22.76",0,111
"113.98,22.62",0,400
"121.55,31.31",0,44
"121.75,31.04",0,12
"121.23,31.26",0,225
"114.15,22.61",0,400
"113.70,23.17",0,173
"121.26,31.19",0,221
"113.27,23.25",0,211
"113.86,22.63",0,105
"121.35,31.14",0,54
"113.45,23.16",0,400
"121.40,31.45",0,125
"113.58,23.28",0,31
"121.23,31.03",1,167
"114.15,22.62",0,1
"121.46,31.33",0,15
"113.92,22.67",0,132
"121.17,31.16",0,155
"113.95,22.80",0,93
"121.33,31.08",0,96
"114.38,22.74",0,1
"113.18,23.34",0,243
"121.24,31.35",1,3
"114.51,22.59",0,4
"114.08,22.62",0,20
"121.15,31.20",0,0
"113.40,23.15",0,50
"113.32,23.07",0,2
"121.57,31.29",0,32
"113.29,23.25",0,97
"121.52,31.14",0,22
"114.03,22.72",0,223
"113.99,22.73",0,400
"121.39,31.15",0,400
"121.40,31.43",0,290
"114.10,22.58",0,123
"114.23,22.55",0,400
"113.45,23.17",1,243
"113.17,23.48",0,400
"113.34,22.98",0,174
"121.47,31.05",0,46
"121.36,31.15",0,95
"121.13,31.16",0,1
"113.78,22.69",0,10
"113.95,22.52",0,24
"121.35,31.19",0,99
"121.60,31.29",0,171
"121.34,31.29",0,361
"113.47,23.18",0,33
"114.02,22.74",0,400
"113.32,23.28",1,9
"113.44,22.98",0,215
"113.43,23.16",0,91
"113.35,23.02",0,41
"113.43,22.78",0,0
"121.42,31.04",0,148
"113.41,22.99",0,201
"113.51,22.85",0,24
"113.42,23.19",0,31
"114.16,22.66",0,276
"113.43,23.09",0,8
"121.56,31.12",0,26
"121.76,31.08",0,374
"113.32,23.44",0,31
"121.27,31.32",2,46
"121.25,31.28",0,23
"113.33,23.20",0,88
"121.43,31.35",0,14
"113.30,23.41",0,400
"113.36,22.93",0,193
"113.83,23.30",0,197
"121.61,31.11",0,170
"121.18,31.20",0,21
"113.30,23.02",0,35
"113.47,23.47",0,41
"114.18,22.58",0,107
"114.24,22.74",0,39
"121.33,31.45",0,30
"114.25,22.75",0,45
"121.30,31.21",0,1
"113.64,23.28",1,7
"114.30,22.67",0,28
"114.36,22.70",0,14
"113.47,23.09",0,117
"113.59,23.14",0,400
"113.50,23.08",0,55
"113.37,23.00",0,65
"121.43,31.10",0,400
"114.16,22.65",0,17
"121.80,31.17",0,148
"121.48,30.96",0,9
"113.15,23.38",1,0
"113.92,22.78",0,124
"114.21,22.71",0,213
"113.19,23.41",0,17
"113.20,23.29",0,33
"121.41,31.19",0,386
"121.39,31.12",1,32
"113.82,22.75",0,39
"121.78,31.03",0,49
"121.22,31.36",0,110
"113.51,22.79",0,191
"121.64,31.27",0,8
"113.84,22.74",0,0
"121.39,31.30",0,50
"121.32,31.31",0,400
"113.98,22.73",0,49
"114.28,22.61",0,17
"121.30,31.14",0,69
"113.87,22.82",0,40
"113.89,22.59",0,71
"113.52,23.09",0,243
"113.37,23.21",0,344
"113.23,23.37",0,40
"113.79,22.76",0,55
"113.47,23.42",0,14
"121.50,31.16",0,69
"113.19,23.07",2,62
"121.69,31.24",0,65
"113.16,23.38",0,65
"113.34,23.25",0,31
"113.92,22.58",0,45
"113.85,22.57",0,203
"113.53,23.21",0,45
"113.32,23.22",0,105
"121.49,31.40",0,40
"113.80,22.64",0,73
"121.52,31.34",0,158
"121.85,30.98",0,400
"113.57,22.68",0,96
"113.82,22.79",1,11
